update,total_steps,mean_recent_total_pnl,std_recent_total_pnl,policy_loss,value_loss,entropy,approx_kl,clip_frac
1,2048,-0.025,3.3141,-0.0058,83.7881,-0.1779,0.00431,0.052
20,40960,0.1597,2.4989,-0.0017,4.7382,-0.2329,0.00114,0.025
40,81920,-0.0012,3.0728,-0.0007,14.8734,-0.2608,-0.0003,0.003
60,122880,0.214,2.6949,-0.0005,4.9846,-0.28,0.00076,0.007
80,163840,-0.1261,2.5979,-0.0036,5.7119,-0.3275,0.00172,0.07
100,204800,-0.1718,2.894,-0.0008,18.4041,-0.4273,0.00296,0.023
120,245760,-0.0072,2.1624,0.0002,3.9044,-0.4939,0.00321,0.037
140,286720,-0.2363,2.1772,-0.0003,2.2016,-0.5367,0.00214,0.008
160,327680,-0.0542,1.5737,0.0003,1.3407,-0.6775,0.00042,0.003
180,368640,-0.1412,1.688,-0.0001,1.9943,-0.755,0.00127,0.017
200,409600,0.0046,1.5803,-0.0031,1.4585,-0.7107,0.00648,0.058
220,450560,-0.1251,1.579,-0.0023,1.0417,-0.8292,0.00342,0.053
240,491520,0.0311,1.3935,-0.0029,0.6814,-0.8524,0.00277,0.05
260,532480,-0.0275,1.3666,-0.0016,1.8282,-0.9671,0.00604,0.056
280,573440,-0.106,1.3231,-0.0008,1.3475,-1.0665,0.00366,0.04
300,614400,-0.0563,1.2218,-0.0038,0.718,-1.1096,0.00426,0.049
320,655360,0.0186,1.1299,-0.0,0.5146,-1.2374,0.00231,0.029
340,696320,-0.1419,1.0296,-0.0003,0.5766,-1.347,0.00349,0.049
360,737280,-0.0014,1.0896,-0.0009,0.4589,-1.3825,0.00386,0.046
380,778240,-0.0892,1.0195,0.0,0.9,-1.4908,0.00438,0.045
400,819200,0.0317,1.0213,-0.003,0.533,-1.5047,0.00367,0.049
420,860160,-0.1085,1.2614,-0.0024,1.1208,-1.5108,0.00622,0.051
440,901120,-0.0213,1.0703,-0.0008,0.4121,-1.5759,0.00438,0.041
460,942080,-0.0442,1.0983,-0.0027,0.6662,-1.6203,0.00557,0.066
480,983040,0.0248,1.0911,-0.002,0.7348,-1.7245,0.00228,0.051
500,1024000,-0.0565,1.0532,0.0006,0.5477,-1.7562,0.00625,0.073
520,1064960,0.0278,1.1633,-0.0003,0.8805,-1.7896,0.00662,0.075
540,1105920,-0.183,1.294,-0.0022,3.8178,-1.862,0.00637,0.071
560,1146880,0.0071,1.1768,-0.005,1.1697,-1.8723,0.0039,0.079
580,1187840,0.0121,1.1366,-0.0007,1.2648,-1.8536,0.00345,0.049
600,1228800,-0.0385,1.1268,-0.0,0.4523,-1.8129,0.00631,0.067
620,1269760,0.0062,1.0403,-0.0021,0.5249,-1.8427,0.00328,0.036
640,1310720,-0.067,1.1933,0.0013,0.5757,-1.8671,0.00454,0.043
660,1351680,0.0338,0.9822,-0.0002,0.4142,-1.8795,0.00412,0.043
680,1392640,0.0142,1.1022,0.0003,0.8101,-1.8606,0.00353,0.042
700,1433600,0.0521,1.1575,-0.002,0.5059,-1.8218,0.00303,0.053
720,1474560,-0.0283,1.1385,-0.0041,1.2657,-1.7949,0.00814,0.081
740,1515520,0.0062,1.1545,-0.0027,0.7644,-1.7818,0.00323,0.054
760,1556480,-0.033,1.1537,-0.0009,1.0553,-1.8276,0.00825,0.078
780,1597440,-0.0613,1.2735,-0.0003,1.0506,-1.868,0.0038,0.048
800,1638400,-0.0991,1.1801,0.0018,1.1706,-1.8631,0.00441,0.065
820,1679360,0.0176,1.3952,-0.0015,0.8746,-1.7955,0.00463,0.046
840,1720320,-0.0437,1.2198,-0.0021,2.0321,-1.8306,0.00671,0.065
860,1761280,-0.0161,1.2562,-0.0014,0.7781,-1.8862,0.00592,0.051
878,1798144,-0.0293,1.1902,0.0004,0.6244,-1.8626,0.0059,0.058
